The number of backgrounds in training dataset is 458
bg0: abandoned_church
bg1: abandoned_factory_canteen_01
bg2: abandoned_factory_canteen_02
bg3: abandoned_games_room_01
bg4: abandoned_games_room_02
bg5: abandoned_greenhouse
bg6: abandoned_hall_01
bg7: abandoned_hopper_terminal_01
bg8: abandoned_hopper_terminal_02
bg9: abandoned_hopper_terminal_03
bg10: abandoned_hopper_terminal_04
bg11: abandoned_parking
bg12: abandoned_pathway
bg13: abandoned_slipway
bg14: abandoned_tank_farm_01
bg15: abandoned_tank_farm_02
bg16: abandoned_tank_farm_03
bg17: abandoned_tank_farm_04
bg18: abandoned_tank_farm_05
bg19: abandoned_waterworks
bg20: abandoned_workshop
bg21: abandoned_workshop_02
bg22: adams_place_bridge
bg23: aerodynamics_workshop
bg24: aft_lounge
bg25: ahornsteig
bg26: air_museum_playground
bg27: aircraft_workshop_01
bg28: altanka
bg29: anniversary_lounge
bg30: approaching_storm
bg31: aristea_wreck
bg32: art_studio
bg33: auto_service
bg34: autoshop_01
bg35: autumn_crossing
bg36: autumn_forest_01
bg37: autumn_ground
bg38: autumn_hockey
bg39: autumn_meadow
bg40: aviation_museum
bg41: balcony
bg42: ballroom
bg43: bathroom
bg44: beach_parking
bg45: bell_park_dawn
bg46: bell_park_pier
bg47: belvedere
bg48: bergen
bg49: bethnal_green_entrance
bg50: between_bridges
bg51: binnenalster
bg52: birbeck_street_underpass
bg53: birchwood
bg54: bismarckturm_hillside
bg55: blau_river
bg56: blaubeuren_church_square
bg57: blaubeuren_hillside
bg58: blaubeuren_night
bg59: blaubeuren_outskirts
bg60: blender_institute
bg61: blinds
bg62: blouberg_sunrise_1
bg63: blouberg_sunrise_2
bg64: blue_grotto
bg65: blue_lagoon
bg66: blue_lagoon_night
bg67: boiler_room
bg68: borghese_gardens
bg69: brick_factory_01
bg70: brick_factory_02
bg71: bush_restaurant
bg72: cabin
bg73: cambridge
bg74: canary_wharf
bg75: cape_hill
bg76: carpentry_shop_01
bg77: carpentry_shop_02
bg78: castel_st_angelo_roof
bg79: cave_wall
bg80: cayley_interior
bg81: cayley_lookout
bg82: cedar_bridge
bg83: champagne_castle_1
bg84: chapmans_drive
bg85: chinese_garden
bg86: christmas_photo_studio_01
bg87: christmas_photo_studio_02
bg88: christmas_photo_studio_04
bg89: christmas_photo_studio_05
bg90: cinema_hall
bg91: cinema_lobby
bg92: circus_arena
bg93: circus_maximus_1
bg94: circus_maximus_2
bg95: cliffside
bg96: cloud_layers
bg97: cloudy_cliffside_road
bg98: cloudy_vondelpark
bg99: colorful_studio
bg100: colosseum
